year,month,day,R_Rf,R_Market,R_I_Aero,R_I_Guns,R_I_Steel,R_I_Ships,R_I_Beer,R_I_Toys,R_I_Fin,R_I_Rtail,eR_Market,eR_I_Aero,eR_I_Guns,eR_I_Steel,eR_I_Ships,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail
1983,1,31,.0068763,.0420053,.0711106,.0189199,.0777015,.1244276,.0163654,.0941277,.0026964,.0066777,.03512899,.06423432,.01204358,.0708252,.11755127,.00948905,.08725136,-.00417994,-.00019865
1983,2,28,.0061809,.0315956,.0606246,.0224462,.0386436,.0724137,.0457379,.1200915,.0434426,.0739937,.0254147,.05444376,.01626533,.03246276,.06623282,.03955703,.11391062,.0372617,.06781282
1983,3,31,.0062802,.0339182,.0651321,.0593061,.028879,.0118298,.1062501,-.0970617,.059683,.1015633,.02763798,.05885186,.05302587,.02259872,.00554951,.09996988,-.10334195,.05340277,.09528307
1983,4,30,.0070749,.0712038,.0482186,.1296238,.0300441,.1307651,.0524027,.0351741,.0888347,.0932171,.06412885,.04114366,.12254886,.02296921,.12369016,.04532777,.02809916,.0817598,.08614217
1983,5,31,.0068763,.0120274,.0059821,.0569473,.0908457,.0357532,-.0336602,.0904804,.0170538,-.0001,.00515108,-.00089423,.05007098,.08396938,.02887687,-.0405365,.08360405,.01017745,-.00697631
1983,6,30,.0066777,.0367176,.0723207,.040854,-.0199986,.0375848,-.0001,.1084956,.0116321,.061001,.03003993,.06564301,.03417634,-.0266763,.0309071,-.00677766,.10181794,.00495443,.05432337
1983,7,31,.0073728,-.0338671,-.061769,-.0065212,-.0077298,-.0136933,-.0036065,-.0202027,-.0066219,-.0228593,-.04123983,-.06914178,-.01389397,-.01510255,-.02106608,-.01097925,-.02757546,-.01399463,-.03023205
1983,8,31,.0075713,.0025966,-.0530844,-.0199986,.0725997,-.0877389,.0316924,.0021976,.0008996,-.0557241,-.00497464,-.06065564,-.02756991,.06502843,-.09531018,.02412118,-.00537368,-.00667167,-.06329542
1983,9,30,.0075713,.0166604,.036139,.0507882,-.0211215,.1348805,.0461199,.0226417,.0135084,.0199987,.00908918,.02856778,.0432169,-.02869276,.12730921,.03854867,.01507046,.00593708,.01242742
1983,10,31,.0075713,-.0271657,-.0386369,-.0100503,-.0530844,.001399,-.0276796,-.0541394,-.0218367,-.0082338,-.03473693,-.04620815,-.0176216,-.06065564,-.00617224,-.03525083,-.06171071,-.02940796,-.01580507
1983,11,30,.0069756,.0281987,.1030078,.0444952,.0902063,.0607187,-.0353163,.0439212,.0254728,.0414298,.02122304,.09603214,.03751963,.08323065,.05374312,-.04229196,.03694557,.01849718,.0344542
1983,12,31,.0072735,-.0105555,-.0164343,-.0351092,.0138043,-.0011006,-.0271657,-.0080322,-.0061187,-.0624075,-.017829,-.02370779,-.04238266,.0065308,-.00837409,-.03443915,-.01530566,-.01339217,-.06968095
1984,1,31,.0075713,-.0116678,-.0119714,-.0561472,-.0194887,-.0699934,-.0160278,-.0792597,.0005998,-.066033,-.01923907,-.01954264,-.06371843,-.02705994,-.07756464,-.02359903,-.08683095,-.00697145,-.07360423
1984,2,28,.0070749,-.0419685,-.0712812,-.1187835,-.082621,-.0773131,-.0767731,-.0632593,-.0521358,-.0441609,-.0490434,-.07835612,-.12585845,-.08969594,-.08438802,-.08384797,-.07033425,-.05921067,-.05123581
1984,3,31,.0072735,.0135084,-.0393647,.04095,.0565694,-.0261387,-.0149106,.0215658,.0173486,.0027961,.00623487,-.04663821,.0336765,.04929587,-.03341214,-.0221841,.01429229,.01007515,-.0044774
1984,4,30,.0080674,.0028958,.0068763,.0293646,-.0561472,.0732505,-.0047111,.0429637,.0006998,.0077697,-.00517157,-.00119107,.02129724,-.06421453,.06518309,-.01277845,.03489633,-.00736762,-.00029763
1984,5,31,.0077697,-.0532953,-.0130852,-.0892685,-.1024758,-.0730009,-.0026034,-.1013685,-.0519251,-.0517144,-.06106503,-.02085498,-.0970382,-.11024553,-.08077063,-.01037312,-.10913824,-.05969481,-.05948417
1984,6,30,.007472,.0253753,.0875529,.0555293,-.0132879,.1257512,.0076705,-.0099493,.0146915,.0739937,.01790329,.08008088,.0480573,-.02075991,.11827919,.00019849,-.01742135,.00721953,.06652166
1984,7,31,.0081666,-.0193867,.0391246,.0454513,-.0961806,.004689,-.0291199,.0211742,-.0058169,.0104453,-.02755328,.03095799,.0372847,-.10434712,-.00347757,-.03728646,.01300767,-.01398345,.00227869
1984,8,31,.0082657,.1053505,.1289208,.1160037,.1301507,.1733649,.0569473,.1561487,.0958555,.087278,.09708477,.12065504,.10773793,.12188494,.16509916,.04868154,.14788294,.08758975,.07901226
1984,9,30,.0085632,.0005998,-.0239854,-.0481404,-.0345914,-.044579,.0102473,-.0936516,.0227395,.0028958,-.00796341,-.03254859,-.0567036,-.04315468,-.05314228,.00168409,-.10221478,.01417626,-.00566743
1984,10,31,.0099503,.0015987,.0573251,.0788112,-.0185714,.0560967,.0461199,-.0222456,.006777,-.0123763,-.00835161,.04737474,.06886085,-.02852172,.04614641,.0361696,-.03219594,-.00317335,-.0223266
1984,11,30,.0072735,-.0103534,-.0726782,.0009995,-.0110609,.0201947,-.0011006,-.0706371,.0026964,-.0278852,-.0176269,-.07995171,-.00627398,-.01833443,.01292122,-.00837409,-.07791057,-.00457712,-.03515869
1984,12,31,.0063796,.0244975,.0402778,.073715,.0224462,.0507882,.0153811,.0328543,.0355602,-.0011006,.01811787,.03389824,.06733543,.01606658,.04440856,.00900149,.02647473,.02918057,-.00748021
1985,1,31,.006479,.0828695,.0956737,.0403739,.1000263,.0992117,.0512633,.1011115,.0780715,.1200915,.07639051,.08919478,.03389493,.09354735,.09273269,.04478433,.09463254,.07159257,.11361252
